osm_id,parent_id,jurisd_base_id,jurisd_local_id,name,name_en,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,phone_prefix,info
305693,167454,152,11,Región de Aysén del General Carlos Ibáñez del Campo,Aysén Region,CL,AI,2181,ai,CL-AI,67,
240932,167454,152,2,Región de Antofagasta,Antofagasta Region,CL,AN,2118,an,CL-AN,,
238392,167454,152,15,Región de Arica y Parinacota,Arica y Parinacota Region,CL,AP,2109,ap,CL-AP,,
296378,167454,152,9,Región de La Araucanía,Araucanía Region,CL,AR,2176,ar,CL-AR,,
271889,167454,152,3,Región de Atacama,Atacama Region,CL,AT,2120,at,CL-AT,,
252891,167454,152,8,Región del Biobío,Biobío Region,CL,BI,2170,bi,CL-BI,,
231672,167454,152,4,Región de Coquimbo,Coquimbo Region,CL,CO,2121,co,CL-CO,,
206487,167454,152,6,Región de O'Higgins,O'Higgins Region,CL,LI,2133,li,CL-LI,,
274991,167454,152,10,Región de Los Lagos,Los Lagos Region,CL,LL,2178,ll,CL-LL,,
274988,167454,152,14,Región de Los Ríos,Los Ríos Region,CL,LR,2177,lr,CL-LR,,
301542,167454,152,12,Región de Magallanes y de la Antártica Chilena,Magellan and the Chilean Antarctic Region,CL,MA,2189,ma,CL-MA,,
239882,167454,152,7,Región del Maule,Maule Region,CL,ML,2166,ml,CL-ML,,
7421025,167454,152,16,Región de Ñuble,Ñuble Region,CL,NB,24076693,nb,CL-NB,,
198848,167454,152,13,Región Metropolitana de Santiago,Santiago Metropolitan Region,CL,RM,2131,rm,CL-RM,2,
238393,167454,152,1,Región de Tarapacá,Tarapacá Region,CL,TA,2114,ta,CL-TA,,
198847,167454,152,5,Región de Valparaíso,Valparaíso Region,CL,VS,219458,vs,CL-VS,,
